CaseID,StandID,Year,RmvCode,Age,Tpa,TPrdTpa,BA,SDI,ZeideSDI,ReinekeSDI,SDIMax,RDSDI,CCF,TopHt,QMD,GMD,TCuFt,TPrdTCuFt,MCuFt,TPrdMCuFt,SCuFt,TPrdSCuFt,BdFt,TPrdBdFt,RTpa,RTCuFt,RMCuFt,RSCuFt,RBdFt,PrdLen,Acc,Mort,MAI,ForTyp,SizeCls,StkCls,variant,config
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2033,0,70,1352.4794921875,1352.4794921875,131.4410400390625,283,283,339,441,0.6418758034706116,333,62,4.221205234527588,3.7761948108673096,2569.54052734375,2569.54052734375,1979.00732421875,1979.00732421875,1129.85986328125,1129.85986328125,6694.7529296875,6694.7529296875,0.0,0.0,0.0,0.0,0.0,5,64.8067398071289,9.117816925048828,28.27142906188965,801,1,2,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2038,0,75,1265.767578125,1265.767578125,143.3545379638672,307,307,359,442,0.695121169090271,367,63,4.556851387023926,4.134801387786865,2847.989501953125,2847.989501953125,2149.43359375,2149.43359375,1210.17431640625,1210.17431640625,7183.49658203125,7183.49658203125,0.0,0.0,0.0,0.0,0.0,5,72.42033386230469,10.790167808532715,28.65333366394043,801,1,2,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2043,0,80,1188.9921875,1188.9921875,155.7030792236328,330,330,378,442,0.7461347579956055,400,64,4.899991512298584,4.499507427215576,3156.13671875,3156.13671875,2312.219970703125,2312.219970703125,1302.933349609375,1302.933349609375,7780.19287109375,7780.19287109375,0.0,0.0,0.0,0.0,0.0,5,79.35037994384766,12.431117057800293,28.899999618530273,801,1,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2048,0,85,1121.6741943359375,1121.6741943359375,168.48941040039062,353,353,399,443,0.7972046136856079,433,65,5.247946262359619,4.8680267333984375,3490.7353515625,3490.7353515625,2534.8349609375,2534.8349609375,1387.013427734375,1387.013427734375,8283.6337890625,8283.6337890625,0.0,0.0,0.0,0.0,0.0,5,85.90829467773438,14.167633056640625,29.823530197143555,801,1,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2053,0,90,1062.436279296875,1062.436279296875,181.689697265625,376,376,419,443,0.848411500453949,464,66,5.599507808685303,5.239019870758057,3849.4365234375,3849.4365234375,2798.192626953125,2798.192626953125,1476.29443359375,1476.29443359375,8811.9052734375,8811.9052734375,0.0,0.0,0.0,0.0,0.0,5,87.78174591064453,36.46134567260742,31.08888816833496,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2058,0,95,943.8502197265625,943.8502197265625,187.75064086914062,381,381,420,444,0.858690619468689,467,66,6.039144992828369,5.6867570877075195,4106.03759765625,4106.03759765625,3039.603271484375,3039.603271484375,1561.2811279296875,1561.2811279296875,9365.681640625,9365.681640625,0.0,0.0,0.0,0.0,0.0,5,87.31033325195312,43.40024948120117,32.0,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2063,0,100,833.6404418945312,833.6404418945312,191.67840576171875,382,382,417,444,0.8604711294174194,461,67,6.4928202629089355,6.146154880523682,4325.58740234375,4325.58740234375,3290.6220703125,3290.6220703125,1662.4036865234375,1662.4036865234375,9951.0380859375,9951.0380859375,0.0,0.0,0.0,0.0,0.0,5,85.78020477294922,44.69371795654297,32.90999984741211,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2068,0,105,743.3560180664062,743.3560180664062,195.13734436035156,381,381,413,444,0.8583025336265564,451,68,6.93757963180542,6.596691131591797,4531.02099609375,4531.02099609375,3550.862060546875,3550.862060546875,1758.2291259765625,1758.2291259765625,10459.3642578125,10459.3642578125,0.0,0.0,0.0,0.0,0.0,5,85.07182312011719,44.96039962768555,33.81904602050781,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2073,0,110,669.5247192382812,669.5247192382812,198.29559326171875,381,381,410,444,0.8588813543319702,440,69,7.369019985198975,7.033949375152588,4731.57958984375,4731.57958984375,3864.433837890625,3864.433837890625,1859.7215576171875,1859.7215576171875,11166.896484375,11166.896484375,0.0,0.0,0.0,0.0,0.0,5,84.98445892333984,35.572471618652344,35.12727355957031,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2078,0,115,621.1460571289062,621.1460571289062,203.87452697753906,386,386,413,443,0.8709725737571716,437,69,7.757485866546631,7.430840015411377,4978.642578125,4978.642578125,4225.1875,4225.1875,1959.7835693359375,1959.7835693359375,11725.7333984375,11725.7333984375,0.0,0.0,0.0,0.0,0.0,5,81.83594512939453,55.47565460205078,36.739131927490234,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2083,0,120,557.74951171875,557.74951171875,204.1165771484375,380,380,405,442,0.8591749668121338,418,70,8.19135570526123,7.868071556091309,5110.44091796875,5110.44091796875,4533.9287109375,4533.9287109375,2050.702392578125,2050.702392578125,12282.23046875,12282.23046875,0.0,0.0,0.0,0.0,0.0,5,79.351318359375,50.37212371826172,37.78333282470703,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2088,0,125,509.03466796875,509.03466796875,205.3045196533203,376,376,400,441,0.8521667718887329,405,71,8.599273681640625,8.280593872070312,5255.33642578125,5255.33642578125,4784.58642578125,4784.58642578125,2147.513916015625,2147.513916015625,12905.7646484375,12905.7646484375,0.0,0.0,0.0,0.0,0.0,5,76.36688995361328,56.442657470703125,38.279998779296875,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2093,0,130,462.5543212890625,462.5543212890625,204.78172302246094,370,370,391,440,0.8412994742393494,390,71,9.009490966796875,8.694406509399414,5354.95654296875,5354.95654296875,4967.0986328125,4967.0986328125,2243.934814453125,2243.934814453125,13543.9443359375,13543.9443359375,0.0,0.0,0.0,0.0,0.0,5,73.80938720703125,55.9268684387207,38.20769119262695,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2098,0,135,423.0208435058594,423.0208435058594,204.08975219726562,363,363,383,438,0.8285136222839355,378,72,9.40515422821045,9.093879699707031,5444.365234375,5444.365234375,5100.93408203125,5100.93408203125,2335.08544921875,2335.08544921875,14056.8974609375,14056.8974609375,0.0,0.0,0.0,0.0,0.0,5,70.84345245361328,54.984310150146484,37.785186767578125,801,2,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2103,0,140,389.4104309082031,389.4104309082031,203.29513549804688,357,357,376,436,0.8182895183563232,367,72,9.783541679382324,9.476213455200195,5523.6650390625,5523.6650390625,5215.5029296875,5215.5029296875,2425.92431640625,2425.92431640625,14612.087890625,14612.087890625,0.0,0.0,0.0,0.0,0.0,5,68.3704605102539,54.228824615478516,37.25714111328125,801,2,1,NE,default
