"forest_type","density_class","Year","TPA","BA","QMD","Cords","NetCords","BdFt","n_stands"
"Hardwood","A+B (high)",2058,169.884061484376,73.9989143074943,8.93673313719427,23.3232366374919,23.3232366374919,5832.10704363217,1
"Hardwood","A+B (high)",2093,264.973129215791,100.053135499199,8.32064259128582,33.28585607063,33.28585607063,7368.30852995403,1
"Hardwood","A+B (high)",2028,214.582635615861,91.0348413284938,8.81960155534636,25.7748805215678,25.7748805215678,6091.09298357646,1
"Hardwood","A+B (high)",2063,184.367828418798,77.2849194409928,8.76692401218508,24.5407749322645,24.5407749322645,6151.81386281055,1
"Hardwood","A+B (high)",2098,257.921402888766,101.78717252913,8.50638954943763,34.410777124955,34.410777124955,7457.91588955648,1
"Hardwood","A+B (high)",2033,194.14008908517,84.1436283940334,8.91446817059444,24.4131547654247,24.4131547654247,5880.83830377051,1
"Hardwood","A+B (high)",2023,252.445441415379,99.1752087734219,8.48711776777619,27.1410027853472,27.1410027853472,6321.14786987113,1
"Hardwood","A+B (high)",2068,201.961498603941,81.0566352504212,8.57832363291501,25.9046530972151,25.9046530972151,6396.92771006213,1
"Hardwood","A+B (high)",2113,232.792617948988,105.568601280034,9.118538051541,37.5372017919237,37.5372017919237,8323.25383819869,1
"Hardwood","A+B (high)",2103,250.21672515297,103.314552704132,8.7009167871947,35.5042943426676,35.5042943426676,7754.78686129228,1
"Hardwood","A+B (high)",2048,154.893713202361,70.9672951270588,9.16546839135636,21.9151061405471,21.9151061405471,5488.94552610359,1
"Hardwood","A+B (high)",2038,168.531575281452,76.4047992600457,9.11721324210917,22.7624703709801,22.7624703709801,5637.28843204326,1
"Hardwood","A+B (high)",2083,251.94636611168,93.3870710108596,8.24388188979299,30.4348732849051,30.4348732849051,7118.40342361765,1
"Hardwood","A+B (high)",2073,216.488802119299,84.7087644149095,8.47010683158233,27.2485734986078,27.2485734986078,6753.99573663282,1
"Hardwood","A+B (high)",2118,224.232998178434,106.351469686475,9.32533450631292,38.4603029331981,38.4603029331981,8720.844000933,1
"Hardwood","A+B (high)",2108,241.564469488305,104.561564553237,8.90865091491814,36.550457471178,36.550457471178,8039.68549856546,1
"Hardwood","A+B (high)",2053,150.1569681637,70.4484926113825,9.27482107651662,22.1268181046894,22.1268181046894,5612.4074919927,1
"Hardwood","A+B (high)",2043,140.450936850966,68.113870518492,9.42970035938735,20.8772017528135,20.8772017528135,5238.67463806579,1
"Hardwood","A+B (high)",2088,261.475317636018,97.0572069479086,8.24975361516884,31.9196704815063,31.9196704815063,7297.34020049508,1
"Hardwood","A+B (high)",2078,234.743262873264,89.0070218608316,8.33792529624476,28.8199421716868,28.8199421716868,6955.95201601565,1
"Hardwood","A+B (high)",2123,215.863315321631,106.92875571903,9.53016167579849,39.3241908460196,39.3241908460196,9385.50064528045,1
"Hardwood","C+D (low)",2023,216.68199427998,75.6208151535107,8.07579304230743,19.921216495453,19.921216495453,4238.58578413701,3
"Hardwood","C+D (low)",2068,231.851878757729,80.9788861676788,8.00419904049562,24.3884152011646,24.3884152011646,5159.18698525909,3
"Hardwood","C+D (low)",2058,203.513298243605,73.2064907545005,8.12712502501238,21.6352236250168,21.6352236250168,4691.02937028151,3
"Hardwood","C+D (low)",2103,248.118076219521,102.621242866336,8.72884418439937,34.3130086748114,34.3130086748114,7438.46529153216,3
"Hardwood","C+D (low)",2093,263.172004525902,99.0241297587458,8.31842516345603,31.8919438725942,31.8919438725942,6617.08769476605,3
"Hardwood","C+D (low)",2038,169.533471384348,64.733594989448,8.45098742581469,18.3122240200711,18.3122240200711,4019.44004339119,3
"Hardwood","C+D (low)",2028,200.606414001096,72.5101218254998,8.22503639578584,19.5737545036921,19.5737545036921,4179.95368911386,3
"Hardwood","C+D (low)",2073,240.248038078461,84.0506537006931,8.00992635190839,25.6369300622554,25.6369300622554,5400.1975370156,3
"Hardwood","C+D (low)",2063,214.253525758488,75.9747523615627,8.06620103838795,22.6875501943826,22.6875501943826,4870.7812651623,3
"Hardwood","C+D (low)",2108,240.570923740842,104.416384438986,8.94304600270491,35.5965115981073,35.5965115981073,7843.3459893369,3
"Hardwood","C+D (low)",2098,255.67113531681,100.581152917142,8.51194360684457,32.9887770180973,32.9887770180973,7072.28078795955,3
"Hardwood","C+D (low)",2043,167.906152577913,64.4269948790721,8.4335549453434,18.5249199418223,18.5249199418223,4108.88531781623,3
"Hardwood","C+D (low)",2033,182.928102097094,68.4762436290569,8.39768369727435,18.9443341553548,18.9443341553548,4106.84780286748,3
"Hardwood","C+D (low)",2078,262.948309881366,89.9718532587312,7.92785161595092,27.6371992436535,27.6371992436535,5702.16985720792,3
"Hardwood","C+D (low)",2123,216.34258986014,107.883831759964,9.58771910987165,38.9414114050573,38.9414114050573,9481.96712709503,3
"Hardwood","C+D (low)",2113,232.300194293744,105.846744112055,9.16393180677495,36.7883717683474,36.7883717683474,8262.38264426738,3
"Hardwood","C+D (low)",2048,178.549813182027,66.9071591703569,8.32740842466102,19.4167870631154,19.4167870631154,4309.8586151534,3
"Hardwood","C+D (low)",2083,267.808701866827,93.4043974280356,8.00595791089137,29.0939006612376,29.0939006612376,6086.02553468276,3
"Hardwood","C+D (low)",2118,224.50875150498,107.03162004953,9.37425065074719,37.9142601683899,37.9142601683899,8756.20466442856,3
"Hardwood","C+D (low)",2053,185.907726033687,69.0323079914613,8.27058051473371,20.2607771349826,20.2607771349826,4473.92578622798,3
"Hardwood","C+D (low)",2088,271.644834057934,97.316368338327,8.11501147322551,30.7584151386233,30.7584151386233,6381.15551783704,3
"Mixedwood","C+D (low)",2058,192.794318853556,72.6121819176391,8.30998156998807,21.907718808496,21.907718808496,4830.23323601916,1
"Mixedwood","C+D (low)",2093,255.445074954038,97.3562494215872,8.35940917707828,31.7907781367199,31.7907781367199,6651.14175350023,1
"Mixedwood","C+D (low)",2028,247.643288029837,92.8477989053088,8.29115355848022,25.166458972002,25.166458972002,5686.44230037905,1
"Mixedwood","C+D (low)",2063,209.480740657782,76.8111600048084,8.19940889591693,23.3553418248973,23.3553418248973,5182.73316994274,1
"Mixedwood","C+D (low)",2098,246.834339788712,99.3741772403106,8.59164683362375,33.1135852299392,33.1135852299392,7025.83119351815,1
"Mixedwood","C+D (low)",2033,223.144132780921,86.5808713616063,8.43452584295221,24.1107906872939,24.1107906872939,5427.90843213105,1
"Mixedwood","C+D (low)",2023,276.482620932325,98.7386879361988,8.0919313615457,25.9637725604552,25.9637725604552,5782.13969015772,1
"Mixedwood","C+D (low)",2068,215.012242477505,78.6089068051029,8.18741335836781,24.1578363932084,24.1578363932084,5301.00395694786,1
"Mixedwood","C+D (low)",2113,213.614822985328,100.512165713002,9.28829618573362,35.6147361884833,35.6147361884833,8085.16892394146,1
"Mixedwood","C+D (low)",2103,229.273174757119,97.73660336131,8.84085834043056,33.2699363210801,33.2699363210801,7325.94307950973,1
"Mixedwood","C+D (low)",2048,163.942592981752,66.9450742270066,8.65278369104447,19.9253182855739,19.9253182855739,4609.48699495749,1
"Mixedwood","C+D (low)",2038,204.447003792407,80.3504304762508,8.48879727233322,22.8956802402051,22.8956802402051,5167.31309438658,1
"Mixedwood","C+D (low)",2083,257.196942192736,91.1411374671902,8.06058857984205,28.7766815479652,28.7766815479652,6232.38722386576,1
"Mixedwood","C+D (low)",2073,253.965148772881,85.8309861044819,7.87186110654025,26.3534709731711,26.3534709731711,5564.16364064148,1
"Mixedwood","C+D (low)",2118,205.567444772805,101.402301677492,9.51018950211322,36.6515410633417,36.6515410633417,8453.86669128326,1
"Mixedwood","C+D (low)",2108,220.982648489369,99.1881864140876,9.07179694554204,34.4519501766381,34.4519501766381,7766.21697382431,1
"Mixedwood","C+D (low)",2053,173.380149563516,69.7838823647253,8.59053695155094,20.9946348096343,20.9946348096343,4728.06285923827,1
"Mixedwood","C+D (low)",2043,181.598371896887,73.4155954701369,8.6095533345784,21.4229405022394,21.4229405022394,4916.79759837625,1
"Mixedwood","C+D (low)",2088,259.153628881675,94.6153213404231,8.1817182582344,30.338459338302,30.338459338302,6491.295552058,1
"Mixedwood","C+D (low)",2078,265.702977673751,90.5303354401568,7.90389727568471,28.0980901983004,28.0980901983004,5811.79882532353,1
"Mixedwood","C+D (low)",2123,197.663291028305,102.062096814937,9.72997367920003,37.6250999879356,37.6250999879356,9391.32478713948,1
