CN,LAT,LON,BGI
18051021010661,44.75007,-67.88834,3625.0
18051024010661,44.75007,-67.94389,3870.0
18051026010661,44.75007,-67.88834,3625.0
18051088010661,45.00007,-67.91612,3916.0
18051143010661,45.05563,-67.91612,3307.0
18051178010661,45.52784,-67.97168,4464.0
18051240010661,44.91674,-68.02723,4382.0
18051306010661,44.61119,-67.805,4251.0
18051369010661,44.63897,-67.86056,3861.0
18051434010661,44.69452,-67.86056,2692.0
18051493010661,44.63897,-67.805,3865.0
18051511010661,44.69452,-67.74944,4127.0
18051513010661,44.80563,-67.77722,4069.0
18051584010661,44.80563,-67.805,3754.0
18051660010661,44.88896,-67.69389,4130.0
18051738010661,44.91674,-67.69389,3884.0
18051815010661,44.94452,-67.77722,4331.0
18051863010661,44.77785,-67.83278,3726.0
18051911010661,44.77785,-67.83278,3726.0
18051981010661,44.91674,-67.86056,3454.0
18052015010661,44.97229,-67.83278,4462.0
18052071010661,45.11118,-67.91612,3462.0
18052079010661,44.75008,-67.24943,3564.0
18052134010661,44.94452,-67.13832,3875.0
18052224010661,44.88897,-67.36055,3561.0
18052312010661,44.83341,-67.0272,3216.0
18052410010661,44.86119,-67.36055,3880.0
18052462010661,45.08341,-67.44388,3959.0
18052464010661,45.41674,-67.47167,4650.0
18052522010661,45.47229,-67.49944,4603.0
18052588010661,45.55562,-67.49944,4328.0
18052726010661,44.77785,-67.52722,2520.0
18052804010661,45.3334,-67.58278,4854.0
18052806010661,44.61119,-67.66611,3786.0
18052810010661,44.58341,-67.66611,3914.0
18052812010661,44.88896,-67.91612,3634.0
18052868010661,44.77785,-67.94389,4027.0
18052917010661,44.86118,-67.97167,2405.0
18052981010661,45.0834,-67.99945,3945.0
18053037010661,45.05563,-67.97167,3817.0
18053062010661,45.44451,-67.88834,2782.0
18053064010661,45.50007,-67.97168,4397.0
18053131010661,45.30562,-67.91612,4087.0
18053182010661,45.61117,-68.02724,4314.0
18053237010661,44.7223,-67.63833,2970.0
18053239010661,45.16674,-67.27721,4126.0
18053241010661,44.7223,-68.02723,3657.0
18053365010661,44.86119,-67.69389,3488.0
17891816010661,47.19448,-68.91615,0.0
17891819010661,47.13893,-68.08281,3980.0
17891930010661,45.77784,-68.05502,4609.0
17892040010661,46.38893,-68.30504,4271.0
17892103010661,46.36116,-67.91613,4250.0
17892124010661,46.41671,-67.91614,4363.0
17892143010661,46.58337,-69.97174,3731.0
17892155010661,47.19449,-68.02725,4362.0
17892196010661,47.13893,-68.11059,4371.0
17892274010661,45.75006,-68.05502,4193.0
17892377010661,46.00005,-67.91613,4548.0
17892466010661,46.58338,-68.27726,4429.0
17892510010661,46.44449,-67.97169,4402.0
17892586010661,46.08339,-68.11058,4217.0
17892653010661,46.75004,-68.97171,3964.0
17892693010661,45.72228,-67.9439,4169.0
17892757010661,47.16671,-68.13837,4395.0
17892810010661,46.75004,-68.99949,3854.0
17892874010661,47.16671,-68.16615,2740.0
17892960010661,45.97228,-67.97169,2898.0
17893004010661,45.97228,-67.97169,2898.0
17893028010661,45.66672,-68.27724,5187.0
17893084010661,46.41671,-68.38837,3294.0
