SPCD,n,B0,B1,B2,B3,B4,B5,B6
831,5298,-1.84786568713384,-0.310860938252628,-0.0555355930778135,2.16096957616583,0.78992468784461,-0.00019648760481444,-0.00301438150084371
832,50840,-2.70549137171361,-0.0829679800145204,-0.00817386991238059,7.1970403911051,1.05482837831899,-6.20794471337989e-05,0.0254002656197228
833,72078,-2.69761959955793,-0.191437127127761,-0.0322943903841934,3.83553457560573,0.803596432160076,-2.58396861282752e-05,0.00646770973574866
835,38967,-2.43110995216886,-0.294266365652406,-0.0454719266088776,2.25377356657987,0.826066308582055,-2.36385349514276e-05,0.00699697261137508
837,41374,-2.75353508970064,-0.284766974743425,-0.0444278809405262,2.8192116112587,0.790908118823037,-7.21744828224871e-05,-0.00448507684287419
901,6071,-3.59808284589241,-0.522557656455545,-0.32899820122186,2.35527087156916,0.277391121942916,-0.000140318227174451,-0.0353494691752614
931,11894,-3.16612770077477,-0.24762141738706,-0.243424516031678,2.81712771902553,0.419985905284822,-7.72071694986326e-05,-0.0290529117833077
951,31999,-2.25507820993997,-0.343451750196862,-0.0398456406430607,2.65204990495745,0.76079504755838,-5.43240006703281e-05,0.0196267409560283
971,17589,-1.85508672328085,-0.397002728863807,-0.434518504543999,1.85788358080786,0.377600192636299,-2.2536135793729e-05,0.0037010357424498
972,30506,-3.60879105336124,-0.211090973962268,-0.100677951759369,4.37003734679691,0.555857979720168,-6.59372443138629e-06,-0.013251093519795
975,7991,-3.0032234861521,-0.324492355631753,-0.201583397032521,2.83137964865081,0.508171390237724,-0.000110745298215528,-0.0173898827985069
