SPCD,FORM,A,B,C,CWMAX,DBHMAX
921,1,4.07906,1.4189,0,0,0
922,2,7.11934,0.491,0,0,0
923,1,4.07906,1.4189,0,0,0
925,1,4.07906,1.4189,0,0,0
926,1,4.0953,2.3849,-0.01163,0,102.53
927,2,7.11934,0.491,0,0,0
929,2,7.11934,0.491,0,0,0
931,2,7.11934,0.491,0,0,0
934,1,4.07906,1.4189,0,0,0
935,1,4.07906,1.4189,0,0,0
936,1,4.07906,1.4189,0,0,0
937,1,4.07906,1.4189,0,0,0
940,1,4.07906,1.4189,0,0,0
950,1,4.07906,1.4189,0,0,0
951,1,4.07906,1.4189,0,0,0
952,1,4.07906,1.4189,0,0,0
953,1,4.07906,1.4189,0,0,0
970,2,7.11934,0.491,0,0,0
971,2,7.11934,0.491,0,0,0
972,2,7.11934,0.491,0,0,0
973,2,7.11934,0.491,0,0,0
974,2,7.11934,0.491,0,0,0
975,2,7.11934,0.491,0,0,0
976,2,7.11934,0.491,0,0,0
977,1,8,1.5,0,0,0
981,1,2,1.5,0,0,0
986,1,4.07906,1.4189,0,0,0
987,1,4.07906,1.4189,0,0,0
988,1,4.07906,1.4189,0,0,0
989,1,4.07906,1.4189,0,0,0
990,1,4.0953,2.3849,-0.01163,0,102.53
992,2,7.11934,0.491,0,0,0
993,1,4.07906,1.4189,0,0,0
994,1,4.07906,1.4189,0,0,0
995,1,4.07906,1.4189,0,0,0
996,1,4.07906,1.4189,0,0,0
997,1,4.07906,1.4189,0,0,0
998,1,4.07906,1.4189,0,0,0
999,1,3.5,2,0,0,0
5092,1,4.0953,2.3849,-0.01163,0,102.53
5146,2,7.11934,0.491,0,0,0
5147,2,7.11934,0.491,0,0,0
5151,2,7.11934,0.491,0,0,0
5203,2,7.11934,0.491,0,0,0
5260,2,7.11934,0.491,0,0,0
5491,1,4.07906,1.4189,0,0,0
6262,1,8.00001,1.53,0,0,0
6434,1,8.00001,1.53,0,0,0
6511,2,7.11934,0.491,0,0,0
6516,2,7.11934,0.491,0,0,0
