PLOT,MEASYEAR,N_LIVE,N_DEAD,N_REMOVED,TPA,BA_FT2_AC,QMD_IN,SDI,REL_DENSITY,DBH_MEAN_IN,DBH_MIN_IN,DBH_MAX_IN,HT_MEAN_FT,LOREYS_HT_FT,DSTRBCD1,NOTES,TPA_INGROWTH,TPA_ALL,METRICS_RELIABLE,CURTIS_RD
1151,1989,10,0,0,50,10.07,6.08,22.5,0.0535,5.98,4.6,7.8,43.9,44.9,,,0,50,N,4.09
1151,1994,15,0,0,75,24.1,7.68,49,0.1168,7.19,4.5,15.6,64.7,73.7,,,0,85,N,8.7
1151,1999,14,0,0,70,27.56,8.5,53.9,0.1283,7.99,4.9,15.9,100,111.8,,,0,70,Y,9.45
1153,1989,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1153,1999,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1154,1989,8,0,0,40,12.62,7.61,25.8,0.0614,7.45,5,9.9,51.8,58.6,,,0,55,N,4.58
1154,1994,24,1,0,120,49.73,8.72,96.3,0.2292,8.15,4.8,18.4,92.8,97.4,,,0,125,N,16.84
1154,1999,34,0,0,170,55.23,7.72,112.2,0.2671,7.15,4.5,15.5,76.1,97.2,,,0,170,Y,19.88
1135,1999,6,0,0,30,16.18,9.94,29.7,0.0708,8.67,4.8,15.6,61,106.6,,,10,35,N,5.13
1136,1989,3,0,0,15,4.99,7.81,10.1,0.024,7.73,6.4,9,64.7,61.4,,,0,15,N,1.78
1136,1994,6,0,0,30,24.26,12.18,41.2,0.098,9.84,5,25.5,82.7,108.3,,,0,30,N,6.95
1136,1999,32,0,0,160,83.95,9.81,155.1,0.3693,8.86,4.6,18.1,130.3,134.9,,,0,160,N,26.81
1137,1989,9,0,0,45,37.99,12.44,63.9,0.1521,10.66,4.8,27.9,35.4,35.3,,,0,45,N,10.77
1137,1994,3,0,0,15,7.92,9.84,14.6,0.0348,9.67,7.3,11.8,109,117.6,,,0,15,N,2.53
1137,1999,4,0,0,20,3.07,5.3,7.2,0.0172,5.28,4.8,6.2,89.3,93.2,,,0,20,N,1.33
1138,1989,4,0,0,20,24.55,15,38.3,0.0913,13.98,7.4,19.6,15,15,,,0,20,N,6.34
1138,1999,3,0,0,15,1.81,4.71,4.5,0.0107,4.7,4.5,5.1,40.7,39.4,,,20,20,N,0.84
1139,1986,45,0,0,225,104.88,9.24,198.3,0.4723,8.82,4.6,15.2,62.4,69.1,,,0,230,N,34.49
1139,1990,46,0,0,230,116.67,9.64,217,0.5166,9.2,4.6,15.8,63.7,70.7,,,0,230,N,37.57
1139,1995,46,0,0,230,131.92,10.25,239.5,0.5702,9.81,5,16.6,65.7,72.5,,,0,230,N,41.19
1139,2000,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1140,1990,26,0,0,130,78.21,10.5,140.6,0.3349,9.85,7.3,23,44.5,48.8,,,0,130,N,24.13
1140,1995,43,0,0,215,117.3,10,215.1,0.512,9.48,5.6,23,42.3,47,,,0,215,N,37.09
1141,1990,6,0,0,30,24.32,12.19,41.2,0.0982,11.6,7.8,18.4,45,45,,,0,30,N,6.97
1141,1995,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1141,2000,6,0,0,30,9.03,7.43,18.6,0.0443,7.22,4.6,9.4,52.5,60.8,,,0,30,N,3.31
1142,1986,19,0,0,95,44.48,9.26,84,0.2001,9.03,7,15.6,33.9,35.1,,,0,95,Y,14.61
1142,1990,17,0,0,85,45.78,9.94,84.2,0.2004,9.71,7.3,16,59.6,59.3,,,0,85,N,14.52
1142,1995,19,0,0,95,48.09,9.63,89.5,0.2131,9.37,5.9,16,56.7,58.1,,,0,95,N,15.49
1142,2000,2,0,0,10,10.16,13.65,16.5,0.0392,13.4,10.8,16,,,,,0,10,N,2.75
1143,1986,9,0,0,45,20.85,9.22,39.5,0.094,9.11,6.8,10.7,40.6,38.7,,,0,45,N,6.87
1143,1990,5,0,0,25,10.78,8.89,20.7,0.0493,8.86,7.9,9.7,53.8,55.7,,,0,25,N,3.62
1143,1995,8,0,0,40,12.6,7.6,25.7,0.0613,7.35,4.8,9.8,28,28,,,0,40,N,4.57
1143,2000,15,0,0,75,23.83,7.63,48.6,0.1157,7.47,5.8,10.6,,,,,0,75,N,8.63
1145,1986,2,0,0,10,1.61,5.43,3.8,0.0089,5.4,4.8,6,,,,,0,10,N,0.69
1145,1990,1,0,0,5,1.34,7,2.8,0.0067,7,7,7,,,,,0,5,N,0.51
1146,1986,28,0,1,140,81.95,10.36,148.2,0.3528,9.96,6.1,16.8,49.7,54.3,,,115,140,Y,25.46
1146,1990,35,0,3,175,91.91,9.81,169.8,0.4042,9.37,4.7,16.8,47.2,53.2,,,20,175,Y,29.34
1146,1995,32,0,3,160,92.07,10.27,167,0.3977,9.88,5.3,17.2,49.7,55.9,,,0,160,Y,28.73
1147,1999,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1148,1999,10,0,0,50,9.7,5.96,21.8,0.0519,5.92,4.9,7.6,29.3,31.4,,,0,55,Y,3.97
1149,1986,13,0,0,65,34.39,9.85,63.4,0.151,9.49,4.8,14.4,39.8,40.9,,,0,65,Y,10.96
1149,1989,11,0,0,55,35.07,10.81,62.3,0.1484,10.68,7.5,12.3,39.2,39.5,,,0,55,Y,10.66
1149,1994,4,0,0,20,9.12,9.15,17.3,0.0413,8.07,5.2,15.5,23.8,24.6,,,0,20,N,3.02
1155,1986,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1155,1989,2,0,0,10,6.4,10.83,11.4,0.0271,10.8,10,11.6,,,,,0,10,N,1.94
1155,1994,7,0,0,35,26.51,11.78,45.5,0.1084,10.44,4.7,18.6,122,122,,,5,35,N,7.72
1155,1999,12,0,0,60,44.48,11.66,76.8,0.1827,10.98,5.6,18,102.3,92.3,,,5,65,N,13.03
1156,1986,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1156,1989,3,0,0,15,16.61,14.25,26.5,0.063,14.13,12,16.4,,,,,0,15,N,4.4
1156,1994,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1156,1999,6,0,0,30,15.88,9.85,29.3,0.0697,9.13,5.6,14.5,124,122.5,,,0,30,N,5.06
1157,1986,2,0,0,10,2.54,6.82,5.4,0.0129,6.7,5.4,8,121,121.4,,,0,10,N,0.97
1157,1989,6,0,0,30,22.31,11.68,38.5,0.0916,11.23,7.7,15.8,,,,,0,30,N,6.53
1157,1994,5,0,0,25,19.95,12.1,33.9,0.0808,11.14,6.5,17.8,144,144,,,0,25,N,5.74
1157,1999,8,0,0,40,20.85,9.78,38.6,0.0918,9.21,5,16.5,117.8,106.3,,,0,40,N,6.67
1158,1986,1,0,0,5,1.34,7,2.8,0.0067,7,7,7,,,,,0,5,N,0.51
1158,1989,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1158,1994,9,0,0,45,20.43,9.12,38.8,0.0925,8.68,4.9,12.6,121,120.6,,,5,45,N,6.76
1158,1999,9,0,0,45,32.3,11.47,56.1,0.1336,11.08,7.8,16.4,128.5,127.4,,,0,45,N,9.54
1159,1986,2,0,0,10,3.08,7.52,6.3,0.0151,7.5,7,8,,,,,0,10,N,1.12
1159,1989,8,0,0,40,15.66,8.47,30.7,0.073,8.44,8,10.1,,,,,0,40,N,5.38
1159,1994,1,0,0,5,1.62,7.7,3.3,0.0078,7.7,7.7,7.7,,,,,0,5,N,0.58
1159,1999,4,0,0,20,7.74,8.42,15.2,0.0362,8.18,6,11.5,131.3,136.4,,,0,20,N,2.67
1160,1986,8,0,0,40,15.97,8.56,31.1,0.0741,8.5,7.4,10.9,,,,,0,40,N,5.46
1160,1989,5,0,0,25,16,10.83,28.4,0.0677,10.76,9.3,12.8,47,47,,,0,25,N,4.86
1160,1994,1,0,0,5,2.62,9.8,4.8,0.0115,9.8,9.8,9.8,,,,,0,5,N,0.84
1162,1986,3,0,0,15,5.98,8.55,11.7,0.0278,8.53,7.8,9,,,,,0,15,N,2.05
