PLOT,MEASYEAR,SPCD,SPECIES,N_LIVE,TPA,BA_FT2_AC,BA_PCT,QMD_IN
1208,1992,12,Balsam fir,20,100,65.31,58.5,10.94
1208,1992,316,Red maple,7,35,26.25,23.5,11.73
1208,1992,97,Red spruce,7,35,11.42,10.2,7.73
1208,1992,261,Hemlock,3,15,6.86,6.1,9.16
1208,1992,371,Yellow birch,1,5,1.08,1,6.3
1208,1992,375,Paper birch,1,5,0.77,0.7,5.3
1208,1997,12,Balsam fir,18,90,57.37,55.9,10.81
1208,1997,316,Red maple,7,35,26.85,26.2,11.86
1208,1997,97,Red spruce,7,35,11.89,11.6,7.89
1208,1997,261,Hemlock,2,10,4.23,4.1,8.81
1208,1997,371,Yellow birch,2,10,2.27,2.2,6.45
1208,2002,12,Balsam fir,12,60,40.11,48.9,11.07
1208,2002,316,Red maple,6,30,19.61,23.9,10.95
1208,2002,97,Red spruce,7,35,12.22,14.9,8
1208,2002,261,Hemlock,3,15,7.94,9.7,9.85
1208,2002,371,Yellow birch,2,10,2.21,2.7,6.36
1209,1987,371,Yellow birch,4,20,16.22,49.1,12.19
1209,1987,97,Red spruce,3,15,6.84,20.7,9.14
1209,1987,12,Balsam fir,3,15,6.13,18.5,8.65
1209,1987,261,Hemlock,2,10,3.85,11.7,8.4
1209,1992,371,Yellow birch,5,25,18.36,34.2,11.6
1209,1992,12,Balsam fir,6,30,11.79,22,8.49
1209,1992,97,Red spruce,6,30,11.58,21.6,8.41
1209,1992,261,Hemlock,4,20,7.43,13.8,8.25
1209,1992,999,Unknown/Other,2,10,2.31,4.3,6.51
1209,1992,544,Bigtooth aspen,2,10,2.24,4.2,6.41
1209,1997,544,Bigtooth aspen,1,5,0.98,100,6
1209,2002,97,Red spruce,10,50,13.88,39.6,7.13
1209,2002,371,Yellow birch,4,20,13.87,39.6,11.28
1209,2002,12,Balsam fir,5,25,7.25,20.7,7.29
1210,1992,999,Unknown/Other,1,5,2.36,100,9.3
1211,2002,91,White spruce,1,5,1.41,100,7.2
1217,1987,12,Balsam fir,33,165,28.79,41.7,5.66
1217,1987,97,Red spruce,8,40,15.54,22.5,8.44
1217,1987,91,White spruce,7,35,15.1,21.8,8.89
1217,1987,371,Yellow birch,3,15,9.69,14,10.88
1217,1991,12,Balsam fir,31,155,32.57,41.7,6.21
1217,1991,97,Red spruce,9,45,18.19,23.3,8.61
1217,1991,91,White spruce,7,35,16.83,21.5,9.39
1217,1991,371,Yellow birch,3,15,10.59,13.6,11.38
1217,1996,12,Balsam fir,31,155,37.71,42.3,6.68
1217,1996,97,Red spruce,9,45,20.81,23.3,9.21
1217,1996,91,White spruce,7,35,18.87,21.2,9.94
1217,1996,371,Yellow birch,3,15,11.79,13.2,12.01
1217,2001,12,Balsam fir,30,150,42.7,42.4,7.22
1217,2001,97,Red spruce,9,45,23.65,23.5,9.82
1217,2001,91,White spruce,7,35,21.22,21.1,10.54
1217,2001,371,Yellow birch,3,15,13.21,13.1,12.7
1218,1987,97,Red spruce,10,50,16.89,44.9,7.87
1218,1987,12,Balsam fir,13,65,11.91,31.7,5.8
1218,1987,91,White spruce,4,20,8.82,23.4,8.99
1218,1991,97,Red spruce,10,50,18.82,44.4,8.31
1218,1991,12,Balsam fir,13,65,13.73,32.4,6.22
1218,1991,91,White spruce,4,20,9.81,23.2,9.48
1218,1996,97,Red spruce,10,50,21.45,44.4,8.87
1218,1996,12,Balsam fir,13,65,15.88,32.8,6.69
1218,1996,91,White spruce,4,20,11.03,22.8,10.06
1219,1987,12,Balsam fir,12,60,12.45,43.9,6.17
1219,1987,91,White spruce,4,20,9.57,33.8,9.37
1219,1987,97,Red spruce,4,20,6.31,22.3,7.61
1219,1991,12,Balsam fir,12,60,14.55,45.3,6.67
1219,1991,91,White spruce,5,25,11.37,35.4,9.13
1219,1991,97,Red spruce,3,15,6.18,19.2,8.69
1219,1996,12,Balsam fir,12,60,16.77,45.7,7.16
1219,1996,91,White spruce,5,25,12.9,35.2,9.73
1219,1996,97,Red spruce,3,15,7.01,19.1,9.26
1219,2001,12,Balsam fir,12,60,19.45,46.4,7.71
1219,2001,91,White spruce,5,25,14.53,34.7,10.32
1219,2001,97,Red spruce,3,15,7.95,19,9.86
1220,1987,91,White spruce,9,45,19.16,51.2,8.83
1220,1987,97,Red spruce,6,30,11.11,29.7,8.24
1220,1987,12,Balsam fir,8,40,7.18,19.2,5.74
1220,1991,91,White spruce,9,45,21.32,52,9.32
1220,1991,97,Red spruce,6,30,11.89,29,8.52
1220,1991,12,Balsam fir,8,40,7.82,19.1,5.99
1220,1996,91,White spruce,9,45,24.05,51.5,9.9
1220,1996,97,Red spruce,6,30,13.58,29,9.11
1220,1996,12,Balsam fir,8,40,9.11,19.5,6.46
1220,2001,91,White spruce,9,45,27.09,51.1,10.51
1220,2001,97,Red spruce,6,30,15.36,29,9.69
1220,2001,12,Balsam fir,8,40,10.53,19.9,6.95
1221,1987,91,White spruce,7,35,15.16,37,8.91
1221,1987,371,Yellow birch,4,20,13.89,33.9,11.28
1221,1987,97,Red spruce,4,20,6.67,16.3,7.82
1221,1987,12,Balsam fir,6,30,5.3,12.9,5.69
1221,1991,91,White spruce,8,40,17.64,38.8,8.99
1221,1991,371,Yellow birch,4,20,15.13,33.3,11.78
1221,1991,97,Red spruce,4,20,7.54,16.6,8.31
1221,1991,12,Balsam fir,5,25,5.17,11.4,6.16
1221,1996,91,White spruce,8,40,19.94,38.8,9.56
1221,1996,371,Yellow birch,4,20,16.82,32.7,12.42
1221,1996,97,Red spruce,4,20,8.62,16.8,8.89
1221,1996,12,Balsam fir,5,25,6.01,11.7,6.64
1221,2001,91,White spruce,8,40,22.49,38.9,10.15
1221,2001,371,Yellow birch,4,20,18.55,32.1,13.04
1221,2001,97,Red spruce,4,20,9.81,17,9.48
1221,2001,12,Balsam fir,5,25,6.95,12,7.14
1222,1987,97,Red spruce,16,80,16.4,57.6,6.13
1222,1987,12,Balsam fir,15,75,8.51,29.9,4.56
1222,1987,371,Yellow birch,2,10,2.57,9,6.86
1222,1987,375,Paper birch,1,5,0.98,3.4,6
1222,1991,97,Red spruce,16,80,19.98,56,6.77
1222,1991,12,Balsam fir,15,75,11.53,32.3,5.31
1222,1991,371,Yellow birch,2,10,3,8.4,7.41
1222,1991,375,Paper birch,1,5,1.15,3.2,6.5
1222,1995,97,Red spruce,16,80,22.8,56.1,7.23
1222,1995,12,Balsam fir,14,70,13.09,32.2,5.85
1222,1995,371,Yellow birch,2,10,3.41,8.4,7.91
1222,1995,375,Paper birch,1,5,1.34,3.3,7
1222,2001,97,Red spruce,16,80,27.97,55.9,8.01
1222,2001,12,Balsam fir,14,70,16.28,32.5,6.53
1222,2001,371,Yellow birch,2,10,4.14,8.3,8.71
1222,2001,375,Paper birch,1,5,1.66,3.3,7.8
1223,1991,97,Red spruce,9,45,7.92,48.4,5.68
1223,1991,12,Balsam fir,9,45,5.46,33.4,4.72
1223,1991,371,Yellow birch,2,10,2.99,18.2,7.4
1223,1996,97,Red spruce,9,45,10.33,48.4,6.49
1223,1996,12,Balsam fir,9,45,7.29,34.1,5.45
1223,1996,371,Yellow birch,2,10,3.74,17.5,8.28
1223,2001,97,Red spruce,9,45,13.54,48.9,7.43
1223,2001,12,Balsam fir,8,40,9.36,33.8,6.55
1223,2001,371,Yellow birch,2,10,4.81,17.4,9.39
1224,1987,97,Red spruce,6,30,8.2,60.2,7.08
1224,1987,371,Yellow birch,1,5,2.73,20,10
1224,1987,12,Balsam fir,4,20,2.02,14.8,4.3
1224,1987,375,Paper birch,1,5,0.68,5,5
1224,1991,97,Red spruce,7,35,10.24,60.5,7.33
1224,1991,371,Yellow birch,1,5,3.06,18.1,10.6
1224,1991,12,Balsam fir,4,20,2.76,16.3,5.03
1224,1991,375,Paper birch,1,5,0.86,5.1,5.6
1224,1996,97,Red spruce,7,35,12.47,60.3,8.08
1224,1996,371,Yellow birch,1,5,3.61,17.4,11.5
1224,1996,12,Balsam fir,4,20,3.55,17.2,5.71
1224,1996,375,Paper birch,1,5,1.05,5.1,6.2
1224,2001,97,Red spruce,7,35,14.92,59.5,8.84
1224,2001,12,Balsam fir,4,20,4.57,18.2,6.48
1224,2001,371,Yellow birch,1,5,4.26,17,12.5
1224,2001,375,Paper birch,1,5,1.34,5.3,7
1225,1987,97,Red spruce,19,95,18.38,54.4,5.96
1225,1987,12,Balsam fir,18,90,11.01,32.6,4.74
1225,1987,371,Yellow birch,2,10,3.55,10.5,8.06
1225,1987,375,Paper birch,1,5,0.82,2.4,5.5
1225,1991,97,Red spruce,19,95,22.63,53.4,6.61
1225,1991,12,Balsam fir,18,90,14.43,34,5.42
1225,1991,371,Yellow birch,3,15,4.37,10.3,7.31
1225,1991,375,Paper birch,1,5,0.98,2.3,6
1225,1995,97,Red spruce,19,95,28.71,53,7.44
1225,1995,12,Balsam fir,18,90,18.78,34.7,6.19
1225,1995,371,Yellow birch,3,15,5.41,10,8.13
1225,1995,375,Paper birch,1,5,1.26,2.3,6.8
1227,1987,371,Yellow birch,5,25,12.85,75.4,9.71
1227,1987,316,Red maple,3,15,2.22,13,5.2
1227,1987,375,Paper birch,2,10,1.98,11.6,6.02
1227,1991,371,Yellow birch,5,25,14.75,73.9,10.4
1227,1991,316,Red maple,3,15,2.85,14.3,5.9
1227,1991,375,Paper birch,2,10,2.35,11.8,6.57
1227,1996,371,Yellow birch,5,25,17.69,72.4,11.39
1227,1996,316,Red maple,3,15,3.67,15,6.7
1227,1996,375,Paper birch,2,10,3.08,12.6,7.52
1227,2001,371,Yellow birch,5,25,20.91,71.6,12.38
1227,2001,316,Red maple,3,15,4.51,15.4,7.42
1227,2001,375,Paper birch,2,10,3.77,12.9,8.32
1228,1987,97,Red spruce,26,130,23.33,51.4,5.74
1228,1987,12,Balsam fir,24,120,18.57,40.9,5.33
1228,1987,371,Yellow birch,2,10,3.5,7.7,8.02
1228,1991,97,Red spruce,27,135,29.56,51.4,6.34
1228,1991,12,Balsam fir,25,125,24.02,41.8,5.94
1228,1991,371,Yellow birch,2,10,3.95,6.9,8.51
1228,1995,97,Red spruce,27,135,37.18,50.7,7.11
1228,1995,12,Balsam fir,25,125,30.89,42.1,6.73
1228,1995,371,Yellow birch,2,10,5.3,7.2,9.86
1228,2001,97,Red spruce,27,135,49.46,50.2,8.2
1228,2001,12,Balsam fir,25,125,41.92,42.6,7.84
1228,2001,371,Yellow birch,2,10,7.1,7.2,11.41
1229,1991,97,Red spruce,5,25,2.82,58.1,4.55
1229,1991,12,Balsam fir,5,25,2.04,41.9,3.87
1230,1987,97,Red spruce,39,195,41.19,60.1,6.22
