cn,t1,variant,oBA,dBA,cBA,oTPH,dTPH,cTPH,oQMD,dQMD,cQMD,oVOL,dVOL,cVOL
490388285126144,29395297010497,wc,43.215183404978305,42.65577088623047,41.60595417480469,1001.8571979687588,1145.9564784904176,1281.5351949095216,23.434008186811546,21.76857437133789,20.330011501312256,333.64218441396383,234.1009242219238,226.27285649694824
490387841126144,29395294010497,wc,107.54170791628714,102.43738391113281,102.02725278320312,536.8673311646077,490.73289958123166,524.1382771545959,50.49940770003298,51.550370864868164,49.78062423706055,1637.7618149844097,1469.3820706044921,1464.7734959033203
490387895126144,29395432010497,wc,27.415484832384237,27.310497137451172,24.316581243896483,3269.3888837294426,1956.1945681618286,1755.6439081151366,10.332275624936827,13.331649913787842,13.278783712387085,75.06459797454742,100.58480697625731,90.12651921362304
30764390020004,24038711010900,wc,22.04148801655546,29.336262744140626,28.754527197265624,1192.0385375315593,1243.4855815168578,1398.7812983221802,15.342870365110846,17.330344791412355,16.17720054626465,122.86779148738529,173.35287405419922,165.98699159423828
273641380489998,12839718010497,wc,57.42256789526048,59.072847045898435,58.11584288330078,1489.4568462690552,1041.433572284857,1150.1513426790343,22.15433155352841,26.872201805114745,25.362669429779054,484.29065667474214,498.68754141992184,489.91491317309567
823115246290487,30764779020004,wc,41.521428400134546,44.07693939208984,43.506299169921874,2133.1256777392923,1545.6607422270263,1780.3637970267334,15.741975400242794,19.05345666885376,17.63789869308472,237.98843448608656,303.6280880100097,300.3505850266113
48206741010497,48231814010497,wc,11.421512343938913,10.344185763549804,10.130750534057617,1815.8983589562924,458.3476385935455,525.523644871875,8.948440343038408,16.95023717880249,15.66570318222046,29.028935805531827,59.23894214633178,56.969564878814694
345934036489998,8659686010901,wc,61.81646635835908,59.702320166015625,55.09779544677734,3472.0758361475423,3201.556968128833,2488.335189557593,15.05527854846611,15.40778166770935,16.789498443603517,410.99878836712895,346.8272976618652,326.4063582756347
750084877290487,48203524010497,wc,20.542448225341133,28.36015269165039,28.013580572509767,1307.2504177087164,1583.2025407915282,1820.853545882666,14.144187809157458,15.101191854476928,13.99496940612793,176.999032748538,160.6358928236084,156.22693109313963
558630529126144,29882274010497,wc,27.99749687735421,31.414262561035155,30.833154125976563,277.4394038590272,250.09701186838532,281.4096705085281,35.84320528488525,39.98842882156372,37.34776636123657,231.37359559639603,409.56427535864253,402.61884990502926
48206691010497,41118133010497,wc,21.551505742379305,23.02985990600586,22.7027983215332,193.265269068384,190.65705622980653,213.20679839784393,37.678465718087516,39.21429002761841,36.818353424072264,130.27942690516295,134.19336944384764,132.3824568849487
484817941489998,22932351010497,wc,36.738740816324736,30.722856018066405,29.89081877441406,460.9983785431188,456.36490598745115,513.9368096555054,31.852516043832093,29.275201930999756,27.21066951751709,225.64365729246876,138.71540707525634,134.4902032838745
30763309020004,24009004010900,wc,28.88137149805495,33.05049888916015,33.119999694824216,230.47087346606517,883.4740522437195,1008.0332472201782,39.94221922600402,21.823142261505126,20.45186695098877,361.1165896246116,324.04076707836913,321.40436033569335
558630556126144,29882967010497,wc,42.26498730825049,41.119571154785156,40.505222290039065,1081.1498697617617,943.0309131299011,1058.2458326404908,22.308929432732498,23.56060646057129,22.07432363510132,314.39297732461716,285.8013663049316,281.55114262512205
273641168489998,12997981010497,wc,90.32351187807038,86.64082963867187,85.98675551757812,802.3012881679931,670.6616323129944,743.8391516878235,37.858462390419994,40.554101657867434,38.36201889038086,1248.60042043388,1074.5454300068359,1068.5946560522461
444202812489998,22825507010497,wc,12.249220732479484,11.817656796264648,11.685447436523438,1705.0096911864953,896.4455764821716,1029.7002897271911,9.56361562533129,12.954745836257935,12.019667253494262,21.888177335774646,47.73008787139892,46.038536052398676
444202476489998,193209089020004,wc,73.87518747847672,75.33517373046875,74.9756109375,603.9846612690036,489.15451849111633,532.49097893833,39.46096047675039,44.27932727813721,42.337880859375,1029.9388989128083,921.5037901254882,917.9846216440429
346864060489998,41117958010497,wc,16.2728073068461,18.06536424560547,17.82008469848633,909.4911442309381,372.45091877221984,424.07172131476136,15.092573934507325,24.849292335510253,23.129186573028566,116.04059342384053,146.8292493717041,144.80772430725096
714229321290487,40220835010497,wc,75.92995630786056,81.19119992675782,80.53838703613282,1144.7868490836556,965.1106777269837,1063.3680206993042,29.058658931537384,32.725856132507325,31.051665687561037,886.6354636140909,999.0578666044921,991.2020312407226
346864420489998,22399150010497,wc,52.2434607528363,56.01744616699219,55.09864677734375,631.9855902616848,830.0443007706848,930.8788002253967,32.44095939931883,29.31137462615967,27.450422325134276,498.37399577431137,437.864021984375,428.88314497998044
238861422489998,14604581010497,wc,47.85004812004363,50.585252966308595,50.180373461914066,1453.320629940185,1534.5601544136841,1694.9739871066406,20.47348519044959,20.48543079376221,19.413805313110352,452.62167062401113,609.0110498315429,604.7007340458983
750082214290487,48204991010497,wc,65.54703338990976,69.27742072753907,68.71271179199219,1115.214913042871,985.2603840062806,1104.1106966318116,27.35448511518553,29.918893260955812,28.14734441757202,556.8106810440371,658.6168527968749,652.4700157602539
889751507290487,30852522020004,wc,58.1128112306493,62.46107263183594,61.2291517578125,863.6957466295262,1038.699712622644,1166.3513445568176,29.26758313038894,27.66845407485962,25.85172872543335,671.4088725874378,535.0806587485351,527.4534498686523
645305843126144,40219861010497,wc,13.858480198011764,14.17088162536621,14.069767727661132,19.752378434515197,19.49485732128353,21.999968423298455,94.51035891371909,96.19745185852051,90.23137222290039,162.15573480965404,133.8549182791748,132.97876991473387
174763558020004,22398603010497,wc,44.46004629927132,52.60931416015625,49.23344162597656,3181.4497871217204,3599.1299781271728,3679.4914107467284,13.338399693778564,13.641362113952637,13.051530141830444,205.34302581871862,160.5601675541992,146.56084024121094
30852432020004,22398369010497,wc,83.10941455920637,80.55912727050782,80.2950326171875,175.86867471620639,173.78107393627624,193.31635368362274,77.56435305998302,76.82123630523682,72.71687442779542,888.4423265893447,849.7203990180664,846.9189907192382
238861329489998,22398693010497,wc,47.68230756700898,51.72366411132813,51.092821154785156,971.3872216717633,645.0899809297485,753.7980987700195,24.998488345946317,31.949171466827394,29.374980239868165,552.7886108591497,563.578550602539,559.4612258798828
273642222489998,12975351010497,wc,11.613170321876304,31.513069458007813,27.278591510009765,252.8055624268716,1730.0712763943848,1278.6628060166381,24.183179171141447,15.22784836769104,16.480034532547,78.5877479397385,135.60857181646728,127.4261040279541
345936378489998,8617900010901,wc,57.7462329575514,69.01394968261718,68.11032009277343,334.5672815241888,387.35676202608033,429.5994674587921,46.876092647554806,47.62533428192139,44.926201553344725,716.0395735401007,784.361077599121,775.4548847910156
484818009489998,22932137010497,wc,32.57342725757307,30.749282299804687,30.21120284423828,579.9657020381171,1376.3774190634642,1560.3182961548218,26.7400294267525,16.864520511627198,15.700108785629272,250.77852351035213,143.58437805725097,138.14810755865477
444202164489998,22827548010497,wc,40.61304362005689,38.97685620117188,38.47161778564453,2146.917686608119,1736.6577870450074,1964.8391842906494,15.518737259348942,16.90329842567444,15.788175115585327,192.04074225248692,209.88127968811034,201.611387357666
750085665290487,48203627010497,wc,47.33224201601647,49.378812451171875,48.931583630371094,613.3592315069689,647.6309403349915,743.0560882521789,31.343853849918386,31.1552809715271,28.954027252197267,467.8185159300808,441.15125302807616,437.7722027485351
273639958489998,12999992010497,wc,68.53136796560197,66.67517995605469,66.26862932128907,274.857093332736,494.58709648647766,546.2894178631806,56.34073835631556,41.427233924865725,39.297753925323484,872.7615550731574,687.9555221293945,684.0234060214843
290008642489998,41120097010497,wc,45.37485411056464,51.07253286132813,50.810617333984375,116.32838135771875,115.81056880876922,128.1473810699524,70.46867192406542,74.92810089111329,71.0473057937622,626.9440374503608,679.0282347905273,676.3488880483397
