PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,config,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
15802466020004,33,2013,2019,6,ne,full_dg_hg_clim_crw,144.87144470214844,167.9105987548828,12.577340126037598,4399.08544921875,21808.62109375,172.47709989881017,3451.1679369131,17997.593860042856
15802466020004,33,2013,2019,6,ne,hg_organon_crw,144.84548950195312,167.9224395751953,12.575762748718262,4465.81591796875,22160.67578125,172.47709989881017,3451.1679369131,17997.593860042856
511304855126144,34,2019,2024,5,ne,hg_organon_crw,185.8355255126953,149.60476684570312,15.091343879699707,6702.49169921875,34505.50390625,92.1363411338126,2516.703110077764,8643.809379407241
75976533010538,23,2007,2012,5,ne,dg_only,47.72683334350586,195.65869140625,6.687564849853516,645.29931640625,250.1514892578125,132.14721150841734,800.889704096238,784.960532120792
75976533010538,23,2007,2012,5,ne,dg_hg_organon,47.73682403564453,195.65863037109375,6.688265800476074,658.2987060546875,250.3692169189453,132.14721150841734,800.889704096238,784.960532120792
75976533010538,23,2007,2012,5,ne,dg_hg_clim,47.73143768310547,195.65878295898438,6.6878838539123535,638.7207641601562,250.38290405273438,132.14721150841734,800.889704096238,784.960532120792
75976533010538,23,2007,2012,5,ne,full_dg_hg_organon_crw,47.73682403564453,195.65863037109375,6.688265800476074,658.2987060546875,250.3692169189453,132.14721150841734,800.889704096238,784.960532120792
75976533010538,23,2007,2012,5,ne,full_dg_hg_clim_crw,47.73143768310547,195.65878295898438,6.6878838539123535,638.7207641601562,250.38290405273438,132.14721150841734,800.889704096238,784.960532120792
75976533010538,23,2007,2012,5,ne,hg_organon_crw,47.73682403564453,195.65863037109375,6.688265800476074,658.2987060546875,250.3692169189453,132.14721150841734,800.889704096238,784.960532120792
222096232010661,42,2011,2017,6,ne,hg_organon_crw,132.6286163330078,288.0052490234375,9.188712120056152,3187.274169921875,7810.9384765625,153.04115700113843,2633.187776558934,6553.539171384856
74916508010538,36,2006,2011,5,ne,dg_only,169.8787078857422,393.623046875,8.895404815673828,4079.30078125,6291.24072265625,135.42522049709993,2983.075087350536,4054.753258670362
74916508010538,36,2006,2011,5,ne,dg_hg_organon,169.8926239013672,393.61541748046875,8.895851135253906,4079.6953125,6272.34716796875,135.42522049709993,2983.075087350536,4054.753258670362
74916508010538,36,2006,2011,5,ne,dg_hg_clim,169.8787078857422,393.623046875,8.895404815673828,4079.30078125,6291.24072265625,135.42522049709993,2983.075087350536,4054.753258670362
74916508010538,36,2006,2011,5,ne,full_dg_hg_organon_crw,169.8926239013672,393.61541748046875,8.895851135253906,4079.6953125,6272.34716796875,135.42522049709993,2983.075087350536,4054.753258670362
74916508010538,36,2006,2011,5,ne,full_dg_hg_clim_crw,169.8787078857422,393.623046875,8.895404815673828,4079.30078125,6291.24072265625,135.42522049709993,2983.075087350536,4054.753258670362
74916508010538,36,2006,2011,5,ne,hg_organon_crw,169.8926239013672,393.61541748046875,8.895851135253906,4079.6953125,6272.34716796875,135.42522049709993,2983.075087350536,4054.753258670362
53935201010538,36,2003,2009,6,ne,dg_only,2.844780683517456,11.823219299316406,6.641907691955566,40.917816162109375,0.0,9.23281670334646,29.555261818875998,0.0
53935201010538,36,2003,2009,6,ne,dg_hg_organon,2.8447680473327637,11.823219299316406,6.641892910003662,42.09981918334961,0.0,9.23281670334646,29.555261818875998,0.0
53935201010538,36,2003,2009,6,ne,dg_hg_clim,2.844954013824463,11.823219299316406,6.6421098709106445,40.92214584350586,0.0,9.23281670334646,29.555261818875998,0.0
53935201010538,36,2003,2009,6,ne,full_dg_hg_organon_crw,2.8447680473327637,11.823219299316406,6.641892910003662,42.09981918334961,0.0,9.23281670334646,29.555261818875998,0.0
53935201010538,36,2003,2009,6,ne,full_dg_hg_clim_crw,2.844954013824463,11.823219299316406,6.6421098709106445,40.92214584350586,0.0,9.23281670334646,29.555261818875998,0.0
53935201010538,36,2003,2009,6,ne,hg_organon_crw,2.8447680473327637,11.823219299316406,6.641892910003662,42.09981918334961,0.0,9.23281670334646,29.555261818875998,0.0
169112107010661,50,2010,2015,5,ne,dg_only,97.6416015625,196.14065551757812,9.553667068481445,2261.41650390625,6978.353515625,112.16080044408272,1941.823151593028,6258.392819445464
169112107010661,50,2010,2015,5,ne,dg_hg_organon,97.65084075927734,196.1405792236328,9.554117202758789,2366.6826171875,7279.63232421875,112.16080044408272,1941.823151593028,6258.392819445464
169112107010661,50,2010,2015,5,ne,dg_hg_clim,97.63920593261719,196.14068603515625,9.553545951843262,2278.408203125,7080.3671875,112.16080044408272,1941.823151593028,6258.392819445464
169112107010661,50,2010,2015,5,ne,full_dg_hg_organon_crw,97.65084075927734,196.1405792236328,9.554117202758789,2366.6826171875,7279.63232421875,112.16080044408272,1941.823151593028,6258.392819445464
169112107010661,50,2010,2015,5,ne,full_dg_hg_clim_crw,97.63920593261719,196.14068603515625,9.553545951843262,2278.408203125,7080.3671875,112.16080044408272,1941.823151593028,6258.392819445464
169112107010661,50,2010,2015,5,ne,hg_organon_crw,97.65084075927734,196.1405792236328,9.554117202758789,2366.6826171875,7279.63232421875,112.16080044408272,1941.823151593028,6258.392819445464
304030612489998,23,2016,2021,5,ne,dg_only,28.889625549316406,89.0059585571289,7.714320659637451,420.4090576171875,186.4065704345703,68.59938966210701,254.73500454410402,76.372205340472
304030612489998,23,2016,2021,5,ne,dg_hg_organon,28.880634307861328,89.0060043334961,7.713119983673096,441.6310729980469,186.39892578125,68.59938966210701,254.73500454410402,76.372205340472
304030612489998,23,2016,2021,5,ne,dg_hg_clim,28.888689041137695,89.0059585571289,7.71419620513916,424.54632568359375,186.4103240966797,68.59938966210701,254.73500454410402,76.372205340472
304030612489998,23,2016,2021,5,ne,full_dg_hg_organon_crw,28.880634307861328,89.0060043334961,7.713119983673096,441.6310729980469,186.39892578125,68.59938966210701,254.73500454410402,76.372205340472
304030612489998,23,2016,2021,5,ne,full_dg_hg_clim_crw,28.888689041137695,89.0059585571289,7.71419620513916,424.54632568359375,186.4103240966797,68.59938966210701,254.73500454410402,76.372205340472
304030612489998,23,2016,2021,5,ne,hg_organon_crw,28.880634307861328,89.0060043334961,7.713119983673096,441.6310729980469,186.39892578125,68.59938966210701,254.73500454410402,76.372205340472
55912737010538,33,2003,2009,6,ne,dg_only,59.39168167114258,82.84443664550781,11.464824676513672,1582.525634765625,5391.75146484375,46.16471158569101,1078.159348085848,4509.531705027928
55912737010538,33,2003,2009,6,ne,dg_hg_organon,59.393062591552734,82.84442901611328,11.464959144592285,1608.6116943359375,5454.9619140625,46.16471158569101,1078.159348085848,4509.531705027928
55912737010538,33,2003,2009,6,ne,dg_hg_clim,59.39168167114258,82.84443664550781,11.464824676513672,1582.525634765625,5391.75146484375,46.16471158569101,1078.159348085848,4509.531705027928
