scale,key,engine,scenario,year,total_TgC,total_lo,total_hi,mean_MgC_ha,n_plots
ecoregion,Central Corn Belt Plains,default,managed (harvest),2030,12.548,7.091,19.073,51.1,42
ecoregion,Central Corn Belt Plains,default,managed (harvest),2055,19.34,11.897,30.34,80.07,42
ecoregion,Central Corn Belt Plains,default,managed (harvest),2080,18.325,9.595,28.865,70.6,42
ecoregion,Central Corn Belt Plains,default,managed (harvest),2105,12.911,7.126,21.257,53.4,42
ecoregion,Central Corn Belt Plains,default,managed (harvest),2125,8.597,4.95,13.747,38.89,42
ecoregion,Central Great Plains,default,reserve (no harvest),2030,12.352,7.269,18.889,26.12,184
ecoregion,Central Great Plains,default,reserve (no harvest),2055,35.879,21.092,53.699,78.44,184
ecoregion,Central Great Plains,default,reserve (no harvest),2080,57.065,35.52,82.676,140.47,184
ecoregion,Central Great Plains,default,reserve (no harvest),2105,73.259,46.666,101.516,194.0,184
ecoregion,Central Great Plains,default,reserve (no harvest),2125,83.842,54.428,126.627,221.68,184
ecoregion,Central Great Plains,default,managed (harvest),2030,12.352,7.267,17.499,26.12,184
ecoregion,Central Great Plains,default,managed (harvest),2055,26.394,16.564,40.358,59.6,184
ecoregion,Central Great Plains,default,managed (harvest),2080,28.542,17.511,41.55,78.51,184
ecoregion,Central Great Plains,default,managed (harvest),2105,25.136,13.529,36.496,74.94,184
ecoregion,Central Great Plains,default,managed (harvest),2125,21.848,12.343,34.704,58.84,184
ecoregion,Central Irregular Plains,default,reserve (no harvest),2030,64.172,51.664,78.936,41.07,195
ecoregion,Central Irregular Plains,default,reserve (no harvest),2055,147.173,119.999,172.551,95.24,195
ecoregion,Central Irregular Plains,default,reserve (no harvest),2080,202.903,170.169,242.111,132.46,195
ecoregion,Central Irregular Plains,default,reserve (no harvest),2105,237.038,199.935,275.908,155.65,195
ecoregion,Central Irregular Plains,default,reserve (no harvest),2125,254.015,204.587,303.202,166.07,195
ecoregion,Central Irregular Plains,default,managed (harvest),2030,64.172,50.847,76.324,41.07,195
ecoregion,Central Irregular Plains,default,managed (harvest),2055,109.248,92.741,130.923,71.38,195
ecoregion,Central Irregular Plains,default,managed (harvest),2080,103.435,85.785,123.807,67.85,195
ecoregion,Central Irregular Plains,default,managed (harvest),2105,80.214,66.673,93.775,53.01,195
ecoregion,Central Irregular Plains,default,managed (harvest),2125,61.783,50.666,74.498,40.0,195
ecoregion,Chihuahuan Desert,default,reserve (no harvest),2030,0.752,0.289,1.356,8.12,75
ecoregion,Chihuahuan Desert,default,reserve (no harvest),2055,3.166,1.274,5.646,30.29,75
ecoregion,Chihuahuan Desert,default,reserve (no harvest),2080,6.554,2.954,10.998,61.38,75
ecoregion,Chihuahuan Desert,default,reserve (no harvest),2105,9.804,4.438,18.287,93.29,75
ecoregion,Chihuahuan Desert,default,reserve (no harvest),2125,11.282,5.255,18.06,110.42,75
ecoregion,Chihuahuan Desert,default,managed (harvest),2030,0.752,0.313,1.344,8.12,75
ecoregion,Chihuahuan Desert,default,managed (harvest),2055,2.596,1.138,4.45,24.13,75
ecoregion,Chihuahuan Desert,default,managed (harvest),2080,4.017,1.961,7.496,37.01,75
ecoregion,Chihuahuan Desert,default,managed (harvest),2105,4.219,1.798,6.95,40.88,75
ecoregion,Chihuahuan Desert,default,managed (harvest),2125,3.136,1.822,5.392,33.18,75
ecoregion,Coast Range,default,reserve (no harvest),2030,70.557,55.695,84.985,55.04,371
ecoregion,Coast Range,default,reserve (no harvest),2055,257.796,206.942,320.809,182.25,371
ecoregion,Coast Range,default,reserve (no harvest),2080,430.387,355.863,516.037,294.29,371
ecoregion,Coast Range,default,reserve (no harvest),2105,549.309,455.12,671.132,369.5,371
ecoregion,Coast Range,default,reserve (no harvest),2125,620.258,508.95,740.905,413.82,371
ecoregion,Coast Range,default,managed (harvest),2030,70.557,54.483,85.533,55.04,371
ecoregion,Coast Range,default,managed (harvest),2055,193.533,151.723,234.054,131.88,371
ecoregion,Coast Range,default,managed (harvest),2080,191.656,151.783,223.864,125.83,371
ecoregion,Coast Range,default,managed (harvest),2105,142.51,118.169,176.681,91.13,371
ecoregion,Coast Range,default,managed (harvest),2125,115.419,91.046,138.965,72.77,371
ecoregion,Colorado Plateaus,default,reserve (no harvest),2030,3.831,2.48,5.227,1.52,820
ecoregion,Colorado Plateaus,default,reserve (no harvest),2055,11.68,7.265,17.357,4.05,820
ecoregion,Colorado Plateaus,default,reserve (no harvest),2080,19.982,12.112,30.152,6.71,820
ecoregion,Colorado Plateaus,default,reserve (no harvest),2105,26.9,16.898,39.208,8.96,820
ecoregion,Colorado Plateaus,default,reserve (no harvest),2125,31.329,18.329,44.559,10.46,820
ecoregion,Colorado Plateaus,default,managed (harvest),2030,3.831,2.549,5.65,1.52,820
ecoregion,Colorado Plateaus,default,managed (harvest),2055,9.295,5.546,13.228,3.17,820
ecoregion,Colorado Plateaus,default,managed (harvest),2080,11.78,6.729,17.798,3.94,820
ecoregion,Colorado Plateaus,default,managed (harvest),2105,11.345,7.469,18.242,3.81,820
ecoregion,Colorado Plateaus,default,managed (harvest),2125,10.147,6.457,14.46,3.48,820
ecoregion,Columbia Mountains/Northern Rockies,default,reserve (no harvest),2030,169.294,154.851,185.005,32.3,1629
ecoregion,Columbia Mountains/Northern Rockies,default,reserve (no harvest),2055,487.675,457.527,523.784,77.89,1629
ecoregion,Columbia Mountains/Northern Rockies,default,reserve (no harvest),2080,736.256,685.023,787.291,115.49,1629
ecoregion,Columbia Mountains/Northern Rockies,default,reserve (no harvest),2105,934.304,868.278,999.764,146.65,1629
ecoregion,Columbia Mountains/Northern Rockies,default,reserve (no harvest),2125,1060.414,958.656,1141.223,166.44,1629
ecoregion,Columbia Mountains/Northern Rockies,default,managed (harvest),2030,169.294,156.493,188.966,32.3,1629
ecoregion,Columbia Mountains/Northern Rockies,default,managed (harvest),2055,345.603,316.139,376.934,51.16,1629
ecoregion,Columbia Mountains/Northern Rockies,default,managed (harvest),2080,303.022,278.253,331.839,45.94,1629
ecoregion,Columbia Mountains/Northern Rockies,default,managed (harvest),2105,246.231,226.877,264.412,38.71,1629
ecoregion,Columbia Mountains/Northern Rockies,default,managed (harvest),2125,206.678,189.799,226.008,32.59,1629
ecoregion,Columbia Plateau,default,reserve (no harvest),2030,9.188,5.697,13.856,26.63,50
ecoregion,Columbia Plateau,default,reserve (no harvest),2055,22.965,12.282,34.483,57.29,50
ecoregion,Columbia Plateau,default,reserve (no harvest),2080,33.708,20.715,49.802,89.47,50
ecoregion,Columbia Plateau,default,reserve (no harvest),2105,44.07,29.533,61.031,120.86,50
ecoregion,Columbia Plateau,default,reserve (no harvest),2125,50.325,34.536,70.429,138.58,50
ecoregion,Columbia Plateau,default,managed (harvest),2030,9.188,5.203,14.001,26.63,50
ecoregion,Columbia Plateau,default,managed (harvest),2055,15.767,8.328,24.335,36.03,50
ecoregion,Columbia Plateau,default,managed (harvest),2080,14.191,9.461,20.762,39.42,50
ecoregion,Columbia Plateau,default,managed (harvest),2105,13.308,10.333,18.106,39.02,50
