"PLOT","YEAR_PREV","YEAR_CURR","tree_idx","SP","DBH_cm","HT_m","EXPF_ha"
1102,1990,2000,4,"BF",28.704086912402,16.1152822364392,12.3552690735
1102,1990,2000,5,"BF",28.1421996157091,20.1702282505727,12.3552690735
1102,1990,2000,6,"BF",27.5453306242744,19.5438557138076,12.3552690735
1102,1990,2000,7,"RS",27.35519881319,13.1151647168089,12.3552690735
1102,1990,2000,8,"RS",26.4058311521025,16.5191769950278,12.3552690735
1102,1990,2000,9,"PB",24.9829225497018,8.75698309484843,12.3552690735
1102,1990,2000,10,"RS",25.0181090746924,11.3991937847002,12.3552690735
1102,1990,2000,11,"RS",24.6947800349963,11.9642839039,12.3552690735
1102,1990,2000,12,"PB",23.7269474371084,7.83848209575431,12.3552690735
1102,1990,2000,13,"OH",23.528410500366,6.65114779044946,12.3552690735
1102,1990,2000,14,"YB",22.6503027267841,7.39483345873589,12.3552690735
1102,1990,2000,15,"BF",20.8403159821763,13.8654626494353,12.3552690735
1102,1990,2000,16,"PB",20.7360780874029,7.2144916026893,12.3552690735
1102,1990,2000,17,"OH",20.1832596600744,4.4011365238207,12.3552690735
1102,1990,2000,18,"BF",19.6076635357182,11.9594325211121,12.3552690735
1102,1990,2000,19,"BF",19.5910178483012,11.9578449911699,12.3552690735
1102,1990,2000,20,"BF",19.5539646106039,13.2260173157248,12.3552690735
1102,1990,2000,21,"PB",18.0358690800431,4.70930309797721,12.3552690735
1102,1990,2000,22,"PB",17.2455423652087,5.96320059306629,12.3552690735
1102,1990,2000,23,"BF",16.7853618064969,11.3083226575435,12.3552690735
1102,1990,2000,24,"PB",16.5111390647378,5.33487318202539,12.3552690735
1102,1990,2000,25,"BF",16.0981860363698,8.74176480328957,12.3552690735
1102,1990,2000,26,"YB",15.0599329093688,4.90248402834747,12.3552690735
1102,1990,2000,27,"BF",14.9888867149554,11.3014696109206,12.3552690735
1102,1990,2000,28,"YB",14.8345334460048,4.26561882989953,12.3552690735
1102,1990,2000,29,"BF",14.3336738049465,7.43642967313289,12.3552690735
1104,1990,2000,1,"YB",29.1764010110734,8.93495951950004,12.3552690735
1104,1990,2000,2,"PB",28.2676353514335,11.48841568312,12.3552690735
1104,1990,2000,3,"YB",28.0344467774348,10.9973611102974,12.3552690735
1104,1990,2000,4,"YB",27.9979529033047,10.9946495230543,12.3552690735
1104,1990,2000,5,"PB",27.2390212170394,9.07662792521909,12.3552690735
1104,1990,2000,6,"RS",27.1187000577273,13.6859528841181,12.3552690735
1104,1990,2000,7,"RS",26.6839736474886,15.1015473479256,12.3552690735
1104,1990,2000,8,"PB",26.3862533821921,8.76672377341097,12.3552690735
1104,1990,2000,9,"YB",26.4448673744545,6.1997919777294,12.3552690735
1104,1990,2000,10,"YB",26.2529428054869,10.9808152207441,12.3552690735
1104,1990,2000,11,"PB",24.3364967084456,7.22990106980363,12.3552690735
1104,1990,2000,12,"RM",24.2713976875352,11.5282198810194,12.3552690735
1104,1990,2000,13,"PB",23.7505892465472,10.8589907338877,12.3552690735
1104,1990,2000,14,"PB",23.6310582892219,4.41406262640369,12.3552690735
1104,1990,2000,15,"YB",21.7190549782272,7.99175001362827,12.3552690735
1104,1990,2000,16,"PB",21.0295710879925,8.73928131068775,12.3552690735
1104,1990,2000,17,"PB",20.7181769830879,12.0443503651003,12.3552690735
1104,1990,2000,18,"PB",20.2629907429633,8.73381040301161,12.3552690735
1104,1990,2000,19,"RM",20.2531156920357,8.51910679193141,12.3552690735
1104,1990,2000,20,"BF",19.4538167241352,12.2702827390833,12.3552690735
1104,1990,2000,21,"RM",19.2510989515214,7.91057192959677,12.3552690735
1104,1990,2000,22,"BF",19.1884813317379,11.9502370998436,12.3552690735
1104,1990,2000,23,"YB",18.6999782437107,5.53839125756171,12.3552690735
1104,1990,2000,24,"YB",18.1786826454103,5.5353604056076,12.3552690735
1104,1990,2000,25,"BF",17.2654376617425,8.0944550537772,12.3552690735
1104,1990,2000,26,"YB",16.6304443811826,5.52850809244954,12.3552690735
1104,1990,2000,27,"BF",16.2210710927702,8.08853452254051,12.3552690735
1104,1990,2000,28,"PB",15.7822907553529,5.95307486331664,12.3552690735
1104,1990,2000,29,"BF",15.4091547087561,9.05462267077658,12.3552690735
1104,1990,2000,30,"BF",14.7282003047867,6.78030285248469,12.3552690735
1104,1990,2000,31,"BF",14.4969435744706,6.12191306608875,12.3552690735
1105,1986,2000,1,"RS",25.1027548000339,11.5237591288539,12.3552690735
1105,1986,2000,2,"RS",24.200420492919,10.1332262818596,12.3552690735
1105,1986,2000,3,"RS",22.7092124368766,11.5162822042484,12.3552690735
1105,1986,2000,4,"BF",22.6940276651684,8.77350878550351,12.3552690735
1105,1986,2000,5,"BF",22.5149939841126,9.10287767838342,12.3552690735
1105,1986,2000,6,"BF",18.9043956741232,14.7159834136166,12.3552690735
1105,1986,2000,7,"RS",18.1959167930393,14.2163548271964,12.3552690735
1105,1986,2000,8,"RS",17.6501020988175,13.9512456216471,12.3552690735
1105,1986,2000,9,"RS",17.6095778659076,13.9498570088731,12.3552690735
1105,1986,2000,10,"RS",17.3226247758593,13.8145846120688,12.3552690735
1105,1986,2000,11,"RS",17.2891681246229,13.8132222604259,12.3552690735
1105,1986,2000,12,"RS",17.257941734121,13.8118616416205,12.3552690735
1105,1986,2000,13,"RS",17.2286561185475,13.8105026989144,12.3552690735
1105,1986,2000,14,"RS",16.95095909712,13.6738473933832,12.3552690735
1105,1986,2000,15,"RS",16.92570745057,13.6725140694186,12.3552690735
1105,1986,2000,16,"RS",16.9017174430885,13.6711822366448,12.3552690735
1105,1986,2000,17,"RS",16.8788617809731,13.6698518628263,12.3552690735
1105,1986,2000,18,"BF",16.7040267417481,13.6044836754276,12.3552690735
1105,1986,2000,19,"RS",16.6018449634511,13.531506833579,12.3552690735
1105,1986,2000,20,"RS",16.3163665311093,13.3910007025108,12.3552690735
1105,1986,2000,21,"RS",16.2982954657632,13.3897204944952,12.3552690735
1105,1986,2000,22,"RS",16.2808554515122,13.3884415292634,12.3552690735
1106,1990,2000,1,"WC",43.7721900811043,15.0812419435078,11.1287080150741
1106,1990,2000,2,"RS",40.3186755735634,23.1320306585855,11.4628525391984
1106,1990,2000,3,"WC",36.4400042485777,16.4919804476922,11.0851843127164
1106,1990,2000,4,"BF",30.2158184736702,19.5487067386023,9.22639593036736
1106,1990,2000,5,"RM",27.7997427376189,12.4312646076361,11.4241858512267
1106,1990,2000,6,"BF",27.1349688558549,21.7108734523306,9.20764524759081
1106,1990,2000,7,"BF",26.8711508867677,20.7764998953733,9.2091057059856
1106,1990,2000,8,"EH",26.5834196377463,10.6558984700771,11.8660814634994
1106,1990,2000,9,"WC",26.4602765232668,12.1827787739637,11.1819785236186
1106,1990,2000,10,"WC",25.9079216740424,12.7505470425117,11.191842482782
1106,1990,2000,11,"BF",25.7770537846075,20.4529604357677,9.21989226370303
1106,1990,2000,12,"BF",25.491796597239,20.758956723869,9.22392072503355
1106,1990,2000,13,"BF",25.2908495508642,17.6416027680679,9.22780773733367
1106,1990,2000,14,"BF",24.7078840523653,20.752490519414,9.23833674866006
1106,1990,2000,15,"BF",24.474824001449,19.1948361369265,9.24378241733835
1106,1990,2000,16,"BF",24.1697594546566,21.0571407206975,9.25044423689921
1106,1990,2000,17,"BF",24.1530134902008,21.0547106778651,9.25063759186335
1106,1990,2000,18,"BF",23.4261063284542,19.4973130702997,9.27127115122096
1106,1990,2000,19,"RS",23.3861630187227,16.492336911797,11.275589142622
1106,1990,2000,20,"BF",22.9064468874423,19.1807941431245,9.28768521317481
1106,1990,2000,21,"WC",22.1474894808696,14.1535613611241,11.2709270631664
1106,1990,2000,22,"YB",22.0719575668172,10.3562631804604,11.4968068202268
1106,1990,2000,23,"OH",21.9855122387111,9.59268775446752,4.07676600510216
1106,1990,2000,24,"EH",21.9449033088885,10.6183439455814,11.8905323188636
1106,1990,2000,25,"WC",21.6481129846651,12.718175325534,11.2831568687711
1106,1990,2000,26,"OH",21.5086182230897,13.9193806601634,4.07646611248705
1106,1990,2000,27,"BF",21.3243536479627,18.8499019759231,9.34811572348747
1106,1990,2000,28,"EH",21.3247652772016,6.33195512934866,11.8962591108423
1106,1990,2000,29,"BF",21.1405221461659,14.4605256035061,9.358106345817
1106,1990,2000,30,"BF",21.1074324214502,16.3468068410352,9.35870669106526
1106,1990,2000,31,"BF",21.0928153849526,16.3440930452128,9.3590455496668
1106,1990,2000,32,"BF",21.0829486449389,16.3422925923165,9.35926367538062
1106,1990,2000,33,"BF",21.0346471438195,19.1549064083252,9.36021026782723
1106,1990,2000,34,"BF",21.0140534484218,19.4633118808616,9.36068121643615
1106,1990,2000,35,"WC",20.4978080132788,14.1306293593351,11.3104600913101
1106,1990,2000,36,"BF",20.4860963085857,19.143543088565,9.38537157340822
1106,1990,2000,37,"BF",19.7849474651235,16.3301837994799,9.42320018924925
1106,1990,2000,38,"OH",19.8063530514558,9.84666151949558,4.15305882197022
1106,1990,2000,39,"BF",19.7625546241346,16.9543101370324,9.42376203094302
1106,1990,2000,40,"RS",19.5446906883948,11.3271108728537,11.1883277725086
1106,1990,2000,41,"RS",19.4315214060121,14.1778134238698,11.1870805408527
1106,1990,2000,42,"BF",19.1948838194508,18.5075780529253,9.45361331796062
1106,1990,2000,43,"YB",19.1316894166023,4.88414303945308,11.4279534661824
1106,1990,2000,44,"WC",18.2283998465257,10.0919057638762,11.3718505043661
1106,1990,2000,45,"BF",18.2164055417642,15.9999106820444,9.51373521549909
1106,1990,2000,46,"BF",18.1754544741844,17.8757138844852,9.51493130401283
1106,1990,2000,47,"WC",17.9897047291616,9.21745395226993,11.3787979052326
1106,1990,2000,48,"BF",17.9289175311323,16.9344512209447,9.53098357898627
1106,1990,2000,49,"BF",17.7140699217005,15.0527503629332,9.54638925398694
1106,1990,2000,50,"YB",17.5239515615551,5.49312921933122,11.3948509837448
1106,1990,2000,51,"BF",17.4831366864563,13.7918314981542,9.56261019447457
1106,1990,2000,52,"RS",17.4243010659429,11.3083098525942,11.1320687289119
1106,1990,2000,53,"OH",17.312369331451,7.44318158446274,4.4963804576168
1106,1990,2000,54,"WC",17.1769159441478,9.49917419272303,11.401099166863
1106,1990,2000,55,"RS",16.8369545141741,12.4446348649268,11.1161423412082
1106,1990,2000,56,"BF",16.6183544711267,16.9204221163625,9.61910370234836
1106,1990,2000,57,"BF",16.6110143245491,16.9186844011603,9.61937380369972
1106,1990,2000,58,"RS",16.6123697537056,11.2980519670507,11.1088851553403
1106,1990,2000,59,"OH",16.4162453344825,3.95539771480986,4.75928208488195
1106,1990,2000,60,"BF",16.1325295804936,15.350051501249,9.65547567523941
